id,name,adset_id,campaign_id,creative_id,status,effective_status,objective,created_time,amount_spent,impressions,reach,frequency,cpm,clicks,ctr,website_ctr,actions:link_click,cost_per_link_click,landing_page_view,results,results_value,cost_per_result.value,actions:omni_purchase,purchase_roas,video_thruplay_watched_actions,video_p25_watched_actions,video_p100_watched_actions,results.indicator,results.value
120225007414250690,AD - Ge Rib,120225007414230690,120225007386020690,1756125121968976,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2025-05-31T09:18:40-0300,"R$69,50 BRL",7883,3815,2.066317,"R$8,82 BRL",65,"0,82%",0.317138,25,"R$2,78 BRL",17,actions:offsite_conversion.fb_pixel_purchase,1,"R$69,50 BRL (Website purchases)",1,1.539568,103,190,24,,
120243700970780690,ADI - GêBox Dia do Amigo,120239568773410690,120239568773420690,3947940092014241,PAUSED,PAUSED,OUTCOME_SALES,2026-04-17T23:26:02-0300,"R$69,45 BRL",10180,6710,1.517139,"R$6,82 BRL",143,"1,40%",0.766208,78,"R$0,89 BRL",69,actions:offsite_conversion.fb_pixel_purchase,14,"R$4,96 BRL (Website purchases)",14,7.016559,4,2,,,
120245245253730690,ADI - FoodPorn,120245245253720690,120245243455420690,988686247181465,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_AWARENESS,2026-05-08T20:16:53-0300,"R$68,66 BRL",57916,23555,2.458756,"R$1,19 BRL",158,"0,27%",0.186477,108,"R$0,64 BRL",1,reach,23555,"R$2,91 BRL (Reach)",,,,,,,
120227026383730690,AD - GÊ BOX VÍDEO NOVO,120227026383670690,120227026383680690,120210346106340690,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2025-06-27T20:57:27-0300,"R$68,59 BRL",11558,6789,1.70246,"R$5,93 BRL",160,"1,38%",0.553729,64,"R$1,07 BRL",47,actions:offsite_conversion.fb_pixel_purchase,4,"R$17,15 BRL (Website purchases)",4,4.900131,306,953,119,,
120250172812570690,ADI - GeBox Prime CTA,120250172812590690,120250172812560690,1697834014805080,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2026-08-04T22:50:15-0300,"R$68,35 BRL",7647,3521,2.171826,"R$8,94 BRL",79,"1,03%",0.653851,50,"R$1,37 BRL",32,actions:offsite_conversion.fb_pixel_purchase,3,"R$22,78 BRL (Website purchases)",3,1.362107,2,1,,,
120213290168300690,POST - 07/11/24,120212330723260690,120212330723240690,120213290277830690,PAUSED,PAUSED,OUTCOME_AWARENESS,2024-11-12T13:07:07-0300,"R$68,01 BRL",71434,47436,1.505903,"R$0,95 BRL",135,"0,19%",0.046196,33,"R$2,06 BRL",14,reach,47436,"R$1,43 BRL (Reach)",,,901,5597,869,,
120221074221480690,POST -19/04/25,120221074221490690,120212332355730690,1197182045045131,ACTIVE,ADSET_PAUSED,OUTCOME_SALES,2025-04-28T23:14:25-0300,"R$66,93 BRL",7252,3795,1.910935,"R$9,23 BRL",68,"0,94%",0.330943,24,"R$2,79 BRL",21,actions:offsite_conversion.fb_pixel_purchase,2,"R$33,47 BRL (Website purchases)",2,165.239803,95,158,29,,
120240345524790690,AD - Novo 05.02.26_1,120240345524810690,120240345524780690,3955183974612784,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2026-02-05T22:59:04-0300,"R$65,48 BRL",7572,3081,2.457644,"R$8,65 BRL",57,"0,75%",0.356577,27,"R$2,43 BRL",24,actions:offsite_conversion.fb_pixel_purchase,2,"R$32,74 BRL (Website purchases)",2,1.450825,99,392,72,,
120213290259260690,POST - 19/10/24,120212330723260690,120212330723240690,120213290277550690,PAUSED,PAUSED,OUTCOME_AWARENESS,2024-11-12T13:07:07-0300,"R$58,49 BRL",60803,37886,1.604894,"R$0,96 BRL",78,"0,13%",0.052629,32,"R$1,83 BRL",11,reach,37886,"R$1,54 BRL (Reach)",,,,,,,
120225343781450690,Publicação do Instagram: Um ASMR de respeito da...,120225343781000690,120225343780620690,1383281892919596,ACTIVE,CAMPAIGN_PAUSED,LINK_CLICKS,2025-06-05T20:13:47-0300,"R$59,73 BRL",9025,6577,1.372206,"R$6,62 BRL",172,"1,91%",1.916898,173,"R$0,35 BRL",16,profile_visit_view,180,"R$0,33 BRL (Instagram profile visits)",,,801,1078,133,,
120209684663500690,AD - GE Week 05,120208994788280690,120203967962960690,120209684863090690,PAUSED,PAUSED,OUTCOME_AWARENESS,2024-05-29T17:05:36-0300,"R$59,37 BRL",39331,17226,2.283235,"R$1,51 BRL",95,"0,24%",0.101701,40,"R$1,48 BRL",13,reach,17226,"R$3,45 BRL (Reach)",,,,,,,
120224820824100690,AD - GÊ Week Maio,120224820824110690,120224443839790690,1019471270170116,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2025-05-27T21:03:45-0300,"R$58,40 BRL",6835,5137,1.330543,"R$8,54 BRL",123,"1,80%",0.643745,44,"R$1,33 BRL",36,actions:offsite_conversion.fb_pixel_purchase,4,"R$14,60 BRL (Website purchases)",4,232.957192,141,277,56,,
120201261144120690,AD - OFERTA,120201261144080690,120201261144000690,120201261407730690,ACTIVE,ADSET_PAUSED,OUTCOME_SALES,2023-11-28T20:31:05-0300,"R$58,03 BRL",10099,5972,1.691058,"R$5,75 BRL",56,"0,55%",0.188137,19,"R$3,05 BRL",9,actions:offsite_conversion.fb_pixel_purchase,3,"R$19,34 BRL (Website purchases)",3,1.060658,184,1004,184,,
