id,name,campaign_id,status,effective_status,delivery.status,delivery.substatuses,optimization_goal,bid_strategy,daily_budget,lifetime_budget,start_time,created_time,updated_time,attribution_setting,amount_spent,impressions,reach,frequency,cpm,clicks,ctr,website_ctr,actions:link_click,cost_per_link_click,landing_page_view,results,results_value,cost_per_result.value,actions:omni_purchase,omni_purchase_values,purchase_roas,end_time,results.indicator,results.value
120221074221490690,FRIO GERAL 5 KM (teste de criativos),120212332355730690,PAUSED,PAUSED,off,"[""off""]",OFFSITE_CONVERSIONS,Highest volume,"R$0,00 BRL","R$600,00 BRL",2025-04-28T23:14:23-0300,2025-04-28T23:14:23-0300,2025-05-11T01:44:03-0300,1d_view_7d_click,"R$240,40 BRL",34471,13934,2.473877,"R$6,97 BRL",468,"1,36%",0.554089,191,"R$1,26 BRL",143,actions:offsite_conversion.fb_pixel_purchase,16,"R$15,03 BRL (Website purchases)",16,"R$52.124,20 BRL",216.822795,2025-05-28T23:05:00-0300,,
120246024577530690,ADV — [GeSalad - Semana do dia 19.05],120245515017160690,PAUSED,PAUSED,off,"[""off""]",OFFSITE_CONVERSIONS,,,,2026-05-19T09:20:40-0300,2026-05-19T09:20:40-0300,2026-05-26T14:22:46-0300,1d_view_7d_click_1d_ev,"R$237,39 BRL",29194,11336,2.575335,"R$8,13 BRL",252,"0,86%",0.520655,152,"R$1,56 BRL",111,actions:offsite_conversion.fb_pixel_purchase,20,"R$11,87 BRL (Website purchases)",20,"R$694,02 BRL",2.923544,2026-05-31T23:30:00-0300,,
120240617357480690,[PROMO] - Quinta-Feira [Nova],120225170496270690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",REACH,Highest volume,"R$15,00 BRL","R$0,00 BRL",2026-02-12T00:30:00-0300,2026-02-11T10:34:08-0300,2026-04-23T00:09:24-0300,1d_view_7d_click,"R$236,84 BRL",223308,141136,1.582219,"R$1,06 BRL",481,"0,22%",0.149121,333,"R$0,71 BRL",90,reach,141136,"R$1,68 BRL (Reach)",,,,,,
120235750598560690,ADV,120235750598550690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",OFFSITE_CONVERSIONS,,,,2025-11-11T16:36:11-0300,2025-11-11T16:36:11-0300,2025-11-11T16:36:28-0300,1d_view_7d_click_1d_ev,"R$227,92 BRL",32107,11192,2.868746,"R$7,10 BRL",216,"0,67%",0.432927,139,"R$1,64 BRL",104,actions:offsite_conversion.fb_pixel_purchase,10,"R$22,79 BRL (Website purchases)",10,"R$392,10 BRL",1.72034,2025-12-11T16:07:44-0300,,
120250075360640690,ADV [3km],120250075360630690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",OFFSITE_CONVERSIONS,,,,2026-07-31T20:37:26-0300,2026-07-31T20:37:26-0300,2026-07-31T20:37:45-0300,1d_view_7d_click_1d_ev,"R$223,44 BRL",20990,7235,2.901175,"R$10,65 BRL",202,"0,96%",0.709862,149,"R$1,50 BRL",109,actions:offsite_conversion.fb_pixel_purchase,11,"R$20,31 BRL (Website purchases)",11,"R$508,90 BRL",2.277569,2026-08-09T23:35:00-0300,,
120209223227640690,[P. FRIO][21 a 43],120209223227360690,PAUSED,PAUSED,off,"[""off""]",OFFSITE_CONVERSIONS,,,,2024-05-15T14:31:22-0300,2024-05-15T14:31:22-0300,2024-06-14T13:45:55-0300,1d_view_7d_click,"R$221,93 BRL",47865,22052,2.170551,"R$4,64 BRL",494,"1,03%",0.34263,164,"R$1,35 BRL",116,actions:offsite_conversion.fb_pixel_purchase,9,"R$24,66 BRL (Website purchases)",9,"R$11.761,80 BRL",52.997792,2024-07-04T23:52:00-0300,,
120243914986390690,ADV — [Gê Amazônico - Semana do dia 20/04],120243462107720690,PAUSED,PAUSED,off,"[""off""]",OFFSITE_CONVERSIONS,,,,2026-04-20T21:59:26-0300,2026-04-20T21:59:26-0300,2026-04-27T20:55:48-0300,1d_view_7d_click_1d_ev,"R$214,08 BRL",28608,13826,2.069145,"R$7,48 BRL",296,"1,03%",0.594239,170,"R$1,26 BRL",140,actions:offsite_conversion.fb_pixel_purchase,12,"R$17,84 BRL (Website purchases)",12,"R$527,12 BRL",2.462257,2026-05-01T23:45:00-0300,,
120225007414230690,[P. QUENTE][RAIO 5km] — ADV,120225007386020690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",OFFSITE_CONVERSIONS,,,,2025-05-31T17:00:00-0300,2025-05-31T09:18:36-0300,2025-06-18T13:39:43-0300,1d_view_7d_click_1d_ev,"R$209,75 BRL",25587,12526,2.042711,"R$8,20 BRL",275,"1,07%",0.406456,104,"R$2,02 BRL",79,actions:offsite_conversion.fb_pixel_purchase,12,"R$17,48 BRL (Website purchases)",12,"R$1.037,40 BRL",4.945888,2025-06-29T23:15:00-0300,,
120245570293080690,ADV — [GeWeek mês 05],120233532885890690,PAUSED,PAUSED,off,"[""off""]",CONVERSATIONS,Highest volume,"R$0,00 BRL","R$700,00 BRL",2026-05-13T09:18:08-0300,2026-05-13T09:18:08-0300,2026-05-16T19:16:05-0300,1d_view_7d_click,"R$209,38 BRL",18269,10319,1.770423,"R$11,46 BRL",183,"1,00%",0.530954,97,"R$2,16 BRL",6,actions:onsite_conversion.messaging_conversation_started_7d,20,"R$10,47 BRL (Messaging conversations started)",4,"R$106,40 BRL",0.508167,2026-05-31T19:02:00-0300,,
120245515017120690,ADV — [GeClassic - Semana do dia 12.05],120245515017160690,PAUSED,PAUSED,off,"[""off""]",OFFSITE_CONVERSIONS,,,,2026-05-12T15:26:06-0300,2026-05-12T15:26:06-0300,2026-05-19T09:20:50-0300,1d_view_7d_click_1d_ev,"R$207,12 BRL",25387,11182,2.270345,"R$8,16 BRL",247,"0,97%",0.551463,140,"R$1,48 BRL",111,actions:offsite_conversion.fb_pixel_purchase,20,"R$10,36 BRL (Website purchases)",20,"R$743,60 BRL",3.590189,2026-05-31T23:30:00-0300,,
120243462107780690,ADV — [Gê Rib - Semana do dia 13/04],120243462107720690,PAUSED,PAUSED,off,"[""off""]",OFFSITE_CONVERSIONS,,,,2026-04-13T19:55:56-0300,2026-04-13T19:55:56-0300,2026-04-20T22:00:19-0300,1d_view_7d_click_1d_ev,"R$203,20 BRL",33887,20442,1.657715,"R$6,00 BRL",421,"1,24%",0.575442,195,"R$1,04 BRL",167,actions:offsite_conversion.fb_pixel_purchase,28,"R$7,26 BRL (Website purchases)",28,"R$908,36 BRL",4.470276,2026-05-01T23:45:00-0300,,
