ficha_id,ficha_nome,ficha_tipo,ficha_custo_medio,ficha_yield,ingrediente_id,ingrediente_nome,qtd_base,variacoes
3832789,Suco Maracujá,datasheet,32.1,1,3861913,Suco de Maracujá Receita,0,47:0.3-0.3
3832893,Adicional Bacon Fatia,datasheet,1.8,1,3811905,Bacon Fatiado,0,64:0.04-0.04
3861891,Ge Balls Receita,benefited,4.05,36,3811911,Peito de Frango,2.5,
3861891,Ge Balls Receita,benefited,4.05,36,3811980,Catupiry Original,1.5,
3861891,Ge Balls Receita,benefited,4.05,36,3811960,Cebolinha (Cheiro Verde),0.5,
3861891,Ge Balls Receita,benefited,4.05,36,3812025,Trigo,0.6,
3861891,Ge Balls Receita,benefited,4.05,36,3812030,Farinha Panko,0.5,
3861891,Ge Balls Receita,benefited,4.05,36,3811914,Ovo,6,
3861891,Ge Balls Receita,benefited,4.05,36,3811978,Leite Integral,0.8,
3861913,Suco de Maracujá Receita,benefited,8.92,3.6,3811904,Maracujá Polpa,1,
3861913,Suco de Maracujá Receita,benefited,8.92,3.6,3812055,Água Mineral 20L,2,
3861922,Suco de Morango Receita,benefited,6.761333333333334,0.3,3811903,Morango Congelado,0.09,
3861922,Suco de Morango Receita,benefited,6.761333333333334,0.3,3812055,Água Mineral 20L,0.16,
3893886,Combo Ge da Galera,datasheet,45.73524999999999,1,3812024,Brioche 70g,0,2:5-5
3893886,Combo Ge da Galera,datasheet,45.73524999999999,1,3811976,Queijo Cheddar Vigor,0,2:10-10
3893886,Combo Ge da Galera,datasheet,45.73524999999999,1,3825328,Blend 130g,0,2:5-5
3893886,Combo Ge da Galera,datasheet,45.73524999999999,1,3825321,Molho Rosé,0,2:0.075-0.075
3893886,Combo Ge da Galera,datasheet,45.73524999999999,1,3811923,Batata Palito,0,2:0.46-0.46
3893911,Combo Ge Família,datasheet,33.2781,1,3812024,Brioche 70g,0,3:4-4
3893911,Combo Ge Família,datasheet,33.2781,1,3825328,Blend 130g,0,3:4-4
3893911,Combo Ge Família,datasheet,33.2781,1,3825321,Molho Rosé,0,3:0.06-0.06
3893911,Combo Ge Família,datasheet,33.2781,1,3811951,Alface,0,3:2-2
3893911,Combo Ge Família,datasheet,33.2781,1,3811955,Tomate,0,3:0.06-0.06
3893911,Combo Ge Família,datasheet,33.2781,1,3811959,Cebola Roxa,0,3:0.03-0.03
3893911,Combo Ge Família,datasheet,33.2781,1,3811976,Queijo Cheddar Vigor,0,3:8-8
3893911,Combo Ge Família,datasheet,33.2781,1,3811923,Batata Palito,0,3:0.24-0.24
3912438,Blend 50g,datasheet,0,1,3825331,Blend 100g,0,12:0.5-0.5
4037284,Frango Empanado -,datasheet,2.73,1,3825318,FRANGO EMPANADO,0,1:1-1
4037301,Geleia de Cupuaçu -,datasheet,0.45856,1,3825349,Geleia de Cupuaçu,0,1:0.032-0.032
4220136,Milk-Shake Sabor,datasheet,0,1,3812048,Sorvete de Creme,0.26,1:0.26-0.26
4220136,Milk-Shake Sabor,datasheet,0,1,4220132,Biscoff,0.026,1:0.026-0.026
4321722,Oklahoma,datasheet,4.3697,1,3825328,Blend 130g,1,7:1-1
4321722,Oklahoma,datasheet,4.3697,1,3811947,Cebola Branca,0.03,7:0.03-0.03
4321722,Oklahoma,datasheet,4.3697,1,4321723,Pão Brioche de Forma,1,7:1-1
4321722,Oklahoma,datasheet,4.3697,1,3825341,Creme de Cheddar,0.03,7:0.03-0.03
4321722,Oklahoma,datasheet,4.3697,1,3825321,Molho Rosé,0.015,7:0.015-0.015
4589343,Ge Tropical,datasheet,10.953800000000001,1,3812024,Brioche 70g,0,9:1-1
4589343,Ge Tropical,datasheet,10.953800000000001,1,3825328,Blend 130g,0,9:1-1
