id;nome;categoria;ativo;tipo;delivery;site;digital_menu;variacoes;descricao
24340412;S - HAPPY HOUR! Hambúrguer + Batata Frita Grátis;Promoção do Dia;Y;other;N;N;N;Único:0;
24522107;S - Coronita 210ml;S - Bebidas;Y;other;N;N;N;Único:10;
24523627;Combo Ge Burger (Batata G);S - Gê Combos!;Y;other;Y;N;Y;Único:44.5;
24557030;S - Guaraná Tuchaua 1L;S - Bebidas;N;other;N;N;N;Único:11;
24557051;Guaraná Tuchaua 1,5L;Bebidas;N;other;Y;Y;N;Único:13;
24636441;S - Ge Bacon;S - Smash;Y;other;N;N;N;Único:34;Smash burger 130g ( duas carnes, 65g cada), duas fatias de queijo cheddar, fatias de bacon e molho mostarda e mel no pão brioche de fermentação natural.
24724618;S - Coca Cola KS;S - Bebidas;Y;other;N;N;N;Único:6;
24768549;Ge Salad;GE WEEK;N;other;N;Y;N;Único:32;Smash burger 130g (duas carnes, 65g cada), queijo cheddar, tomate, cebola roxa, alface e molho rosé no pão brioche de fermentação natural.
24768615;S - Ge Salad;GE WEEK;N;other;N;N;N;Único:24.2;
24768651;D - Ge Salad;GE WEEK;N;other;Y;N;N;Único:24.2;
24770561;S - Suco Kapo;S - Bebidas;N;other;N;N;Y;Único:5;
24862816;Cerveja Eisenbahn;S - Bebidas;N;other;N;N;N;Único:12;
25100277;Coca Zero;Bebidas;Y;other;Y;Y;Y;Único:7;
25100289;Coca Cola;Bebidas;Y;other;Y;Y;Y;Único:7;
25100292;Sprite Zero 350ml;Bebidas;N;other;Y;Y;Y;Único:7;
25100295;Pepsi;Bebidas;Y;other;Y;Y;Y;Único:7;
25100307;Água Mineral;Bebidas;Y;other;Y;Y;Y;Único:5;
25100311;Fanta Uva de 1,5l;Bebidas;N;other;Y;Y;Y;Único:13;
25100314;Pepsi Black 1l;Bebidas;Y;other;Y;Y;Y;Único:11;
25100317;Água com Gás;Bebidas;Y;other;Y;Y;Y;Único:5;
25100326;Coca Cola de 1l;Bebidas;N;other;Y;Y;Y;Único:11;
25100335;Coca Zero 1,5l;Bebidas;Y;other;Y;Y;Y;Único:13;
25100344;Guaraná Antarctica de 1l;Bebidas;Y;other;Y;Y;Y;Único:11;
25100347;Guaraná Antarctica Zero;Bebidas;Y;other;Y;Y;Y;Único:7;
25100350;Pepsi Black;Bebidas;N;other;Y;Y;Y;Único:7;
25100360;Schweppes Citrus;Bebidas;Y;other;Y;Y;Y;Único:7;
25100370;Fanta Uva;Bebidas;Y;other;Y;Y;Y;Único:7;
25100375;Guaraná Antarctica;Bebidas;N;other;Y;Y;Y;Único:7;
25101710;Suco Natural;Bebidas;Y;other;Y;Y;Y;Único:12;
25624593;S - Coca Cola Zero KS;S - Bebidas;Y;other;N;N;Y;Único:6;
26261529;S - Fanta Laranja Zero;S - Bebidas;N;other;N;N;N;Único:7;
26310075;S - Pepperoni Burger;S - Smash;N;other;N;N;N;Único:29;
26310130;S - Combo Pepperoni Burger;S - Gê Combos!;N;other;N;N;N;Único:41.5;
28177160;Coca Cola 1,5L;Bebidas;Y;other;Y;Y;N;Único:13;
